filename,wind_speed_kt,wind_speed_kmh,category,cyclone_detected,image_path,mock_bbox,structural_pattern
46(3).jpg,46,85.2,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/46(3).jpg,"[420, 190, 600, 370]",curved_band
34.jpg,34,63.0,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/34.jpg,"[420, 190, 600, 370]",curved_band
102.jpg,102,188.9,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/102.jpg,"[420, 190, 600, 370]",eye_visible
81.jpg,81,150.0,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/81.jpg,"[420, 190, 600, 370]",eye_visible
59(1).jpg,59,109.3,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/59(1).jpg,"[420, 190, 600, 370]",eye_visible
60.jpg,60,111.1,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/60.jpg,"[420, 190, 600, 370]",eye_visible
67(1).jpg,67,124.1,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/67(1).jpg,"[420, 190, 600, 370]",eye_visible
25.jpg,25,46.3,Depression,True,data/processed/classification/image_only_kaggle/images/25.jpg,"[420, 190, 600, 370]",shear_pattern
47.jpg,47,87.0,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/47.jpg,"[420, 190, 600, 370]",curved_band
61(1).jpg,61,113.0,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/61(1).jpg,"[420, 190, 600, 370]",eye_visible
40.jpg,40,74.1,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/40.jpg,"[420, 190, 600, 370]",curved_band
112.jpg,112,207.4,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/112.jpg,"[420, 190, 600, 370]",eye_visible
85(1).jpg,85,157.4,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/85(1).jpg,"[420, 190, 600, 370]",eye_visible
49(1).jpg,49,90.7,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/49(1).jpg,"[420, 190, 600, 370]",eye_visible
35(2).jpg,35,64.8,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/35(2).jpg,"[420, 190, 600, 370]",curved_band
65.jpg,65,120.4,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/65.jpg,"[420, 190, 600, 370]",eye_visible
52.jpg,52,96.3,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/52.jpg,"[420, 190, 600, 370]",eye_visible
38.jpg,38,70.4,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/38.jpg,"[420, 190, 600, 370]",curved_band
47(2).jpg,47,87.0,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/47(2).jpg,"[420, 190, 600, 370]",curved_band
53(3).jpg,53,98.2,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/53(3).jpg,"[420, 190, 600, 370]",eye_visible
67.jpg,67,124.1,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/67.jpg,"[420, 190, 600, 370]",eye_visible
42(3).jpg,42,77.8,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/42(3).jpg,"[420, 190, 600, 370]",curved_band
57(1).jpg,57,105.6,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/57(1).jpg,"[420, 190, 600, 370]",eye_visible
53.jpg,53,98.2,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/53.jpg,"[420, 190, 600, 370]",eye_visible
33(1).jpg,33,61.1,Deep Depression,True,data/processed/classification/image_only_kaggle/images/33(1).jpg,"[420, 190, 600, 370]",shear_pattern
44.jpg,44,81.5,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/44.jpg,"[420, 190, 600, 370]",curved_band
54.jpg,54,100.0,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/54.jpg,"[420, 190, 600, 370]",eye_visible
40(1).jpg,40,74.1,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/40(1).jpg,"[420, 190, 600, 370]",curved_band
58(1).jpg,58,107.4,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/58(1).jpg,"[420, 190, 600, 370]",eye_visible
41.jpg,41,75.9,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/41.jpg,"[420, 190, 600, 370]",curved_band
65(3).jpg,65,120.4,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/65(3).jpg,"[420, 190, 600, 370]",eye_visible
98.jpg,98,181.5,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/98.jpg,"[420, 190, 600, 370]",eye_visible
65(2).jpg,65,120.4,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/65(2).jpg,"[420, 190, 600, 370]",eye_visible
48(3).jpg,48,88.9,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/48(3).jpg,"[420, 190, 600, 370]",curved_band
31.jpg,31,57.4,Deep Depression,True,data/processed/classification/image_only_kaggle/images/31.jpg,"[420, 190, 600, 370]",shear_pattern
55(2).jpg,55,101.9,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/55(2).jpg,"[420, 190, 600, 370]",eye_visible
70.jpg,70,129.6,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/70.jpg,"[420, 190, 600, 370]",eye_visible
45(2).jpg,45,83.3,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/45(2).jpg,"[420, 190, 600, 370]",curved_band
47(4).jpg,47,87.0,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/47(4).jpg,"[420, 190, 600, 370]",curved_band
44(2).jpg,44,81.5,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/44(2).jpg,"[420, 190, 600, 370]",curved_band
44(1).jpg,44,81.5,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/44(1).jpg,"[420, 190, 600, 370]",curved_band
82.jpg,82,151.9,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/82.jpg,"[420, 190, 600, 370]",eye_visible
32(1).jpg,32,59.3,Deep Depression,True,data/processed/classification/image_only_kaggle/images/32(1).jpg,"[420, 190, 600, 370]",shear_pattern
46(1).jpg,46,85.2,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/46(1).jpg,"[420, 190, 600, 370]",curved_band
87.jpg,87,161.1,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/87.jpg,"[420, 190, 600, 370]",eye_visible
115.jpg,115,213.0,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/115.jpg,"[420, 190, 600, 370]",eye_visible
83(1).jpg,83,153.7,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/83(1).jpg,"[420, 190, 600, 370]",eye_visible
33.jpg,33,61.1,Deep Depression,True,data/processed/classification/image_only_kaggle/images/33.jpg,"[420, 190, 600, 370]",shear_pattern
35.jpg,35,64.8,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/35.jpg,"[420, 190, 600, 370]",curved_band
119.jpg,119,220.4,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/119.jpg,"[420, 190, 600, 370]",eye_visible
30.jpg,30,55.6,Deep Depression,True,data/processed/classification/image_only_kaggle/images/30.jpg,"[420, 190, 600, 370]",shear_pattern
36.jpg,36,66.7,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/36.jpg,"[420, 190, 600, 370]",curved_band
45(1).jpg,45,83.3,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/45(1).jpg,"[420, 190, 600, 370]",curved_band
57.jpg,57,105.6,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/57.jpg,"[420, 190, 600, 370]",eye_visible
86(1).jpg,86,159.3,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/86(1).jpg,"[420, 190, 600, 370]",eye_visible
32.jpg,32,59.3,Deep Depression,True,data/processed/classification/image_only_kaggle/images/32.jpg,"[420, 190, 600, 370]",shear_pattern
61(2).jpg,61,113.0,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/61(2).jpg,"[420, 190, 600, 370]",eye_visible
85.jpg,85,157.4,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/85.jpg,"[420, 190, 600, 370]",eye_visible
74(2).jpg,74,137.0,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/74(2).jpg,"[420, 190, 600, 370]",eye_visible
49.jpg,49,90.7,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/49.jpg,"[420, 190, 600, 370]",eye_visible
48.jpg,48,88.9,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/48.jpg,"[420, 190, 600, 370]",curved_band
68.jpg,68,125.9,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/68.jpg,"[420, 190, 600, 370]",eye_visible
47(1).jpg,47,87.0,Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/47(1).jpg,"[420, 190, 600, 370]",curved_band
63(2).jpg,63,116.7,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/63(2).jpg,"[420, 190, 600, 370]",eye_visible
51(1).jpg,51,94.5,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/51(1).jpg,"[420, 190, 600, 370]",eye_visible
118.jpg,118,218.5,Extremely Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/118.jpg,"[420, 190, 600, 370]",eye_visible
59(2).jpg,59,109.3,Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/59(2).jpg,"[420, 190, 600, 370]",eye_visible
74(1).jpg,74,137.0,Very Severe Cyclonic Storm,True,data/processed/classification/image_only_kaggle/images/74(1).jpg,"[420, 190, 600, 370]",eye_visible
