filename,path_ir,path_vis,wind_speed_kt,wind_speed_kmh,category,imd_code,category_idx
36(1).jpg,data/processed/classification/multisource_satellite/images_ir/36(1).jpg,data/processed/classification/multisource_satellite/images_vis/36(1).jpg,36.0,66.7,Cyclonic Storm,CS,2
36(2).jpg,data/processed/classification/multisource_satellite/images_ir/36(2).jpg,data/processed/classification/multisource_satellite/images_vis/36(2).jpg,36.0,66.7,Cyclonic Storm,CS,2
36(3).jpg,data/processed/classification/multisource_satellite/images_ir/36(3).jpg,data/processed/classification/multisource_satellite/images_vis/36(3).jpg,36.0,66.7,Cyclonic Storm,CS,2
36.jpg,data/processed/classification/multisource_satellite/images_ir/36.jpg,data/processed/classification/multisource_satellite/images_vis/36.jpg,36.0,66.7,Cyclonic Storm,CS,2
37.jpg,data/processed/classification/multisource_satellite/images_ir/37.jpg,data/processed/classification/multisource_satellite/images_vis/37.jpg,37.0,68.5,Cyclonic Storm,CS,2
38.jpg,data/processed/classification/multisource_satellite/images_ir/38.jpg,data/processed/classification/multisource_satellite/images_vis/38.jpg,38.0,70.4,Cyclonic Storm,CS,2
39.jpg,data/processed/classification/multisource_satellite/images_ir/39.jpg,data/processed/classification/multisource_satellite/images_vis/39.jpg,39.0,72.2,Cyclonic Storm,CS,2
40(1).jpg,data/processed/classification/multisource_satellite/images_ir/40(1).jpg,data/processed/classification/multisource_satellite/images_vis/40(1).jpg,40.0,74.1,Cyclonic Storm,CS,2
40(2).jpg,data/processed/classification/multisource_satellite/images_ir/40(2).jpg,data/processed/classification/multisource_satellite/images_vis/40(2).jpg,40.0,74.1,Cyclonic Storm,CS,2
40(3).jpg,data/processed/classification/multisource_satellite/images_ir/40(3).jpg,data/processed/classification/multisource_satellite/images_vis/40(3).jpg,40.0,74.1,Cyclonic Storm,CS,2
40.jpg,data/processed/classification/multisource_satellite/images_ir/40.jpg,data/processed/classification/multisource_satellite/images_vis/40.jpg,40.0,74.1,Cyclonic Storm,CS,2
41.jpg,data/processed/classification/multisource_satellite/images_ir/41.jpg,data/processed/classification/multisource_satellite/images_vis/41.jpg,41.0,75.9,Cyclonic Storm,CS,2
42(3).jpg,data/processed/classification/multisource_satellite/images_ir/42(3).jpg,data/processed/classification/multisource_satellite/images_vis/42(3).jpg,42.0,77.8,Cyclonic Storm,CS,2
42.jpg,data/processed/classification/multisource_satellite/images_ir/42.jpg,data/processed/classification/multisource_satellite/images_vis/42.jpg,42.0,77.8,Cyclonic Storm,CS,2
43(2).jpg,data/processed/classification/multisource_satellite/images_ir/43(2).jpg,data/processed/classification/multisource_satellite/images_vis/43(2).jpg,43.0,79.6,Cyclonic Storm,CS,2
43.jpg,data/processed/classification/multisource_satellite/images_ir/43.jpg,data/processed/classification/multisource_satellite/images_vis/43.jpg,43.0,79.6,Cyclonic Storm,CS,2
44(1).jpg,data/processed/classification/multisource_satellite/images_ir/44(1).jpg,data/processed/classification/multisource_satellite/images_vis/44(1).jpg,44.0,81.5,Cyclonic Storm,CS,2
44(2).jpg,data/processed/classification/multisource_satellite/images_ir/44(2).jpg,data/processed/classification/multisource_satellite/images_vis/44(2).jpg,44.0,81.5,Cyclonic Storm,CS,2
44(3).jpg,data/processed/classification/multisource_satellite/images_ir/44(3).jpg,data/processed/classification/multisource_satellite/images_vis/44(3).jpg,44.0,81.5,Cyclonic Storm,CS,2
44.jpg,data/processed/classification/multisource_satellite/images_ir/44.jpg,data/processed/classification/multisource_satellite/images_vis/44.jpg,44.0,81.5,Cyclonic Storm,CS,2
45(1).jpg,data/processed/classification/multisource_satellite/images_ir/45(1).jpg,data/processed/classification/multisource_satellite/images_vis/45(1).jpg,45.0,83.3,Cyclonic Storm,CS,2
45(2).jpg,data/processed/classification/multisource_satellite/images_ir/45(2).jpg,data/processed/classification/multisource_satellite/images_vis/45(2).jpg,45.0,83.3,Cyclonic Storm,CS,2
45(3).jpg,data/processed/classification/multisource_satellite/images_ir/45(3).jpg,data/processed/classification/multisource_satellite/images_vis/45(3).jpg,45.0,83.3,Cyclonic Storm,CS,2
45(4).jpg,data/processed/classification/multisource_satellite/images_ir/45(4).jpg,data/processed/classification/multisource_satellite/images_vis/45(4).jpg,45.0,83.3,Cyclonic Storm,CS,2
45.jpg,data/processed/classification/multisource_satellite/images_ir/45.jpg,data/processed/classification/multisource_satellite/images_vis/45.jpg,45.0,83.3,Cyclonic Storm,CS,2
46(1).jpg,data/processed/classification/multisource_satellite/images_ir/46(1).jpg,data/processed/classification/multisource_satellite/images_vis/46(1).jpg,46.0,85.2,Cyclonic Storm,CS,2
46(3).jpg,data/processed/classification/multisource_satellite/images_ir/46(3).jpg,data/processed/classification/multisource_satellite/images_vis/46(3).jpg,46.0,85.2,Cyclonic Storm,CS,2
46.jpg,data/processed/classification/multisource_satellite/images_ir/46.jpg,data/processed/classification/multisource_satellite/images_vis/46.jpg,46.0,85.2,Cyclonic Storm,CS,2
47(1).jpg,data/processed/classification/multisource_satellite/images_ir/47(1).jpg,data/processed/classification/multisource_satellite/images_vis/47(1).jpg,47.0,87.0,Cyclonic Storm,CS,2
47(2).jpg,data/processed/classification/multisource_satellite/images_ir/47(2).jpg,data/processed/classification/multisource_satellite/images_vis/47(2).jpg,47.0,87.0,Cyclonic Storm,CS,2
47(3).jpg,data/processed/classification/multisource_satellite/images_ir/47(3).jpg,data/processed/classification/multisource_satellite/images_vis/47(3).jpg,47.0,87.0,Cyclonic Storm,CS,2
47(4).jpg,data/processed/classification/multisource_satellite/images_ir/47(4).jpg,data/processed/classification/multisource_satellite/images_vis/47(4).jpg,47.0,87.0,Cyclonic Storm,CS,2
47.jpg,data/processed/classification/multisource_satellite/images_ir/47.jpg,data/processed/classification/multisource_satellite/images_vis/47.jpg,47.0,87.0,Cyclonic Storm,CS,2
48(1).jpg,data/processed/classification/multisource_satellite/images_ir/48(1).jpg,data/processed/classification/multisource_satellite/images_vis/48(1).jpg,48.0,88.9,Cyclonic Storm,CS,2
48(2).jpg,data/processed/classification/multisource_satellite/images_ir/48(2).jpg,data/processed/classification/multisource_satellite/images_vis/48(2).jpg,48.0,88.9,Cyclonic Storm,CS,2
48(3).jpg,data/processed/classification/multisource_satellite/images_ir/48(3).jpg,data/processed/classification/multisource_satellite/images_vis/48(3).jpg,48.0,88.9,Cyclonic Storm,CS,2
48.jpg,data/processed/classification/multisource_satellite/images_ir/48.jpg,data/processed/classification/multisource_satellite/images_vis/48.jpg,48.0,88.9,Cyclonic Storm,CS,2
49(1).jpg,data/processed/classification/multisource_satellite/images_ir/49(1).jpg,data/processed/classification/multisource_satellite/images_vis/49(1).jpg,49.0,90.7,Severe Cyclonic Storm,SCS,3
49(2).jpg,data/processed/classification/multisource_satellite/images_ir/49(2).jpg,data/processed/classification/multisource_satellite/images_vis/49(2).jpg,49.0,90.7,Severe Cyclonic Storm,SCS,3
49.jpg,data/processed/classification/multisource_satellite/images_ir/49.jpg,data/processed/classification/multisource_satellite/images_vis/49.jpg,49.0,90.7,Severe Cyclonic Storm,SCS,3
50(1).jpg,data/processed/classification/multisource_satellite/images_ir/50(1).jpg,data/processed/classification/multisource_satellite/images_vis/50(1).jpg,50.0,92.6,Severe Cyclonic Storm,SCS,3
50(2).jpg,data/processed/classification/multisource_satellite/images_ir/50(2).jpg,data/processed/classification/multisource_satellite/images_vis/50(2).jpg,50.0,92.6,Severe Cyclonic Storm,SCS,3
50.jpg,data/processed/classification/multisource_satellite/images_ir/50.jpg,data/processed/classification/multisource_satellite/images_vis/50.jpg,50.0,92.6,Severe Cyclonic Storm,SCS,3
51(1).jpg,data/processed/classification/multisource_satellite/images_ir/51(1).jpg,data/processed/classification/multisource_satellite/images_vis/51(1).jpg,51.0,94.5,Severe Cyclonic Storm,SCS,3
51.jpg,data/processed/classification/multisource_satellite/images_ir/51.jpg,data/processed/classification/multisource_satellite/images_vis/51.jpg,51.0,94.5,Severe Cyclonic Storm,SCS,3
52(1).jpg,data/processed/classification/multisource_satellite/images_ir/52(1).jpg,data/processed/classification/multisource_satellite/images_vis/52(1).jpg,52.0,96.3,Severe Cyclonic Storm,SCS,3
52.jpg,data/processed/classification/multisource_satellite/images_ir/52.jpg,data/processed/classification/multisource_satellite/images_vis/52.jpg,52.0,96.3,Severe Cyclonic Storm,SCS,3
53(1).jpg,data/processed/classification/multisource_satellite/images_ir/53(1).jpg,data/processed/classification/multisource_satellite/images_vis/53(1).jpg,53.0,98.2,Severe Cyclonic Storm,SCS,3
53(2).jpg,data/processed/classification/multisource_satellite/images_ir/53(2).jpg,data/processed/classification/multisource_satellite/images_vis/53(2).jpg,53.0,98.2,Severe Cyclonic Storm,SCS,3
53(3).jpg,data/processed/classification/multisource_satellite/images_ir/53(3).jpg,data/processed/classification/multisource_satellite/images_vis/53(3).jpg,53.0,98.2,Severe Cyclonic Storm,SCS,3
53.jpg,data/processed/classification/multisource_satellite/images_ir/53.jpg,data/processed/classification/multisource_satellite/images_vis/53.jpg,53.0,98.2,Severe Cyclonic Storm,SCS,3
54.jpg,data/processed/classification/multisource_satellite/images_ir/54.jpg,data/processed/classification/multisource_satellite/images_vis/54.jpg,54.0,100.0,Severe Cyclonic Storm,SCS,3
55(2).jpg,data/processed/classification/multisource_satellite/images_ir/55(2).jpg,data/processed/classification/multisource_satellite/images_vis/55(2).jpg,55.0,101.9,Severe Cyclonic Storm,SCS,3
56.jpg,data/processed/classification/multisource_satellite/images_ir/56.jpg,data/processed/classification/multisource_satellite/images_vis/56.jpg,56.0,103.7,Severe Cyclonic Storm,SCS,3
57(1).jpg,data/processed/classification/multisource_satellite/images_ir/57(1).jpg,data/processed/classification/multisource_satellite/images_vis/57(1).jpg,57.0,105.6,Severe Cyclonic Storm,SCS,3
57(2).jpg,data/processed/classification/multisource_satellite/images_ir/57(2).jpg,data/processed/classification/multisource_satellite/images_vis/57(2).jpg,57.0,105.6,Severe Cyclonic Storm,SCS,3
57.jpg,data/processed/classification/multisource_satellite/images_ir/57.jpg,data/processed/classification/multisource_satellite/images_vis/57.jpg,57.0,105.6,Severe Cyclonic Storm,SCS,3
58(1).jpg,data/processed/classification/multisource_satellite/images_ir/58(1).jpg,data/processed/classification/multisource_satellite/images_vis/58(1).jpg,58.0,107.4,Severe Cyclonic Storm,SCS,3
58.jpg,data/processed/classification/multisource_satellite/images_ir/58.jpg,data/processed/classification/multisource_satellite/images_vis/58.jpg,58.0,107.4,Severe Cyclonic Storm,SCS,3
59(1).jpg,data/processed/classification/multisource_satellite/images_ir/59(1).jpg,data/processed/classification/multisource_satellite/images_vis/59(1).jpg,59.0,109.3,Severe Cyclonic Storm,SCS,3
59(2).jpg,data/processed/classification/multisource_satellite/images_ir/59(2).jpg,data/processed/classification/multisource_satellite/images_vis/59(2).jpg,59.0,109.3,Severe Cyclonic Storm,SCS,3
59.jpg,data/processed/classification/multisource_satellite/images_ir/59.jpg,data/processed/classification/multisource_satellite/images_vis/59.jpg,59.0,109.3,Severe Cyclonic Storm,SCS,3
60(1).jpg,data/processed/classification/multisource_satellite/images_ir/60(1).jpg,data/processed/classification/multisource_satellite/images_vis/60(1).jpg,60.0,111.1,Severe Cyclonic Storm,SCS,3
60(2).jpg,data/processed/classification/multisource_satellite/images_ir/60(2).jpg,data/processed/classification/multisource_satellite/images_vis/60(2).jpg,60.0,111.1,Severe Cyclonic Storm,SCS,3
60.jpg,data/processed/classification/multisource_satellite/images_ir/60.jpg,data/processed/classification/multisource_satellite/images_vis/60.jpg,60.0,111.1,Severe Cyclonic Storm,SCS,3
61(1).jpg,data/processed/classification/multisource_satellite/images_ir/61(1).jpg,data/processed/classification/multisource_satellite/images_vis/61(1).jpg,61.0,113.0,Severe Cyclonic Storm,SCS,3
61(2).jpg,data/processed/classification/multisource_satellite/images_ir/61(2).jpg,data/processed/classification/multisource_satellite/images_vis/61(2).jpg,61.0,113.0,Severe Cyclonic Storm,SCS,3
61.jpg,data/processed/classification/multisource_satellite/images_ir/61.jpg,data/processed/classification/multisource_satellite/images_vis/61.jpg,61.0,113.0,Severe Cyclonic Storm,SCS,3
62.jpg,data/processed/classification/multisource_satellite/images_ir/62.jpg,data/processed/classification/multisource_satellite/images_vis/62.jpg,62.0,114.8,Severe Cyclonic Storm,SCS,3
63(1).jpg,data/processed/classification/multisource_satellite/images_ir/63(1).jpg,data/processed/classification/multisource_satellite/images_vis/63(1).jpg,63.0,116.7,Severe Cyclonic Storm,SCS,3
63(2).jpg,data/processed/classification/multisource_satellite/images_ir/63(2).jpg,data/processed/classification/multisource_satellite/images_vis/63(2).jpg,63.0,116.7,Severe Cyclonic Storm,SCS,3
63.jpg,data/processed/classification/multisource_satellite/images_ir/63.jpg,data/processed/classification/multisource_satellite/images_vis/63.jpg,63.0,116.7,Severe Cyclonic Storm,SCS,3
64(1).jpg,data/processed/classification/multisource_satellite/images_ir/64(1).jpg,data/processed/classification/multisource_satellite/images_vis/64(1).jpg,64.0,118.5,Very Severe Cyclonic Storm,VSCS,4
64(2).jpg,data/processed/classification/multisource_satellite/images_ir/64(2).jpg,data/processed/classification/multisource_satellite/images_vis/64(2).jpg,64.0,118.5,Very Severe Cyclonic Storm,VSCS,4
64.jpg,data/processed/classification/multisource_satellite/images_ir/64.jpg,data/processed/classification/multisource_satellite/images_vis/64.jpg,64.0,118.5,Very Severe Cyclonic Storm,VSCS,4
65(2).jpg,data/processed/classification/multisource_satellite/images_ir/65(2).jpg,data/processed/classification/multisource_satellite/images_vis/65(2).jpg,65.0,120.4,Very Severe Cyclonic Storm,VSCS,4
65(3).jpg,data/processed/classification/multisource_satellite/images_ir/65(3).jpg,data/processed/classification/multisource_satellite/images_vis/65(3).jpg,65.0,120.4,Very Severe Cyclonic Storm,VSCS,4
65.jpg,data/processed/classification/multisource_satellite/images_ir/65.jpg,data/processed/classification/multisource_satellite/images_vis/65.jpg,65.0,120.4,Very Severe Cyclonic Storm,VSCS,4
67(1).jpg,data/processed/classification/multisource_satellite/images_ir/67(1).jpg,data/processed/classification/multisource_satellite/images_vis/67(1).jpg,67.0,124.1,Very Severe Cyclonic Storm,VSCS,4
67.jpg,data/processed/classification/multisource_satellite/images_ir/67.jpg,data/processed/classification/multisource_satellite/images_vis/67.jpg,67.0,124.1,Very Severe Cyclonic Storm,VSCS,4
68.jpg,data/processed/classification/multisource_satellite/images_ir/68.jpg,data/processed/classification/multisource_satellite/images_vis/68.jpg,68.0,125.9,Very Severe Cyclonic Storm,VSCS,4
69(1).jpg,data/processed/classification/multisource_satellite/images_ir/69(1).jpg,data/processed/classification/multisource_satellite/images_vis/69(1).jpg,69.0,127.8,Very Severe Cyclonic Storm,VSCS,4
69.jpg,data/processed/classification/multisource_satellite/images_ir/69.jpg,data/processed/classification/multisource_satellite/images_vis/69.jpg,69.0,127.8,Very Severe Cyclonic Storm,VSCS,4
70.jpg,data/processed/classification/multisource_satellite/images_ir/70.jpg,data/processed/classification/multisource_satellite/images_vis/70.jpg,70.0,129.6,Very Severe Cyclonic Storm,VSCS,4
73.jpg,data/processed/classification/multisource_satellite/images_ir/73.jpg,data/processed/classification/multisource_satellite/images_vis/73.jpg,73.0,135.2,Very Severe Cyclonic Storm,VSCS,4
74(1).jpg,data/processed/classification/multisource_satellite/images_ir/74(1).jpg,data/processed/classification/multisource_satellite/images_vis/74(1).jpg,74.0,137.0,Very Severe Cyclonic Storm,VSCS,4
74(2).jpg,data/processed/classification/multisource_satellite/images_ir/74(2).jpg,data/processed/classification/multisource_satellite/images_vis/74(2).jpg,74.0,137.0,Very Severe Cyclonic Storm,VSCS,4
74.jpg,data/processed/classification/multisource_satellite/images_ir/74.jpg,data/processed/classification/multisource_satellite/images_vis/74.jpg,74.0,137.0,Very Severe Cyclonic Storm,VSCS,4
75.jpg,data/processed/classification/multisource_satellite/images_ir/75.jpg,data/processed/classification/multisource_satellite/images_vis/75.jpg,75.0,138.9,Very Severe Cyclonic Storm,VSCS,4
77(1).jpg,data/processed/classification/multisource_satellite/images_ir/77(1).jpg,data/processed/classification/multisource_satellite/images_vis/77(1).jpg,77.0,142.6,Very Severe Cyclonic Storm,VSCS,4
77.jpg,data/processed/classification/multisource_satellite/images_ir/77.jpg,data/processed/classification/multisource_satellite/images_vis/77.jpg,77.0,142.6,Very Severe Cyclonic Storm,VSCS,4
81.jpg,data/processed/classification/multisource_satellite/images_ir/81.jpg,data/processed/classification/multisource_satellite/images_vis/81.jpg,81.0,150.0,Very Severe Cyclonic Storm,VSCS,4
82(1).jpg,data/processed/classification/multisource_satellite/images_ir/82(1).jpg,data/processed/classification/multisource_satellite/images_vis/82(1).jpg,82.0,151.9,Very Severe Cyclonic Storm,VSCS,4
82.jpg,data/processed/classification/multisource_satellite/images_ir/82.jpg,data/processed/classification/multisource_satellite/images_vis/82.jpg,82.0,151.9,Very Severe Cyclonic Storm,VSCS,4
83(1).jpg,data/processed/classification/multisource_satellite/images_ir/83(1).jpg,data/processed/classification/multisource_satellite/images_vis/83(1).jpg,83.0,153.7,Very Severe Cyclonic Storm,VSCS,4
84.jpg,data/processed/classification/multisource_satellite/images_ir/84.jpg,data/processed/classification/multisource_satellite/images_vis/84.jpg,84.0,155.6,Very Severe Cyclonic Storm,VSCS,4
85(1).jpg,data/processed/classification/multisource_satellite/images_ir/85(1).jpg,data/processed/classification/multisource_satellite/images_vis/85(1).jpg,85.0,157.4,Very Severe Cyclonic Storm,VSCS,4
85(2).jpg,data/processed/classification/multisource_satellite/images_ir/85(2).jpg,data/processed/classification/multisource_satellite/images_vis/85(2).jpg,85.0,157.4,Very Severe Cyclonic Storm,VSCS,4
85.jpg,data/processed/classification/multisource_satellite/images_ir/85.jpg,data/processed/classification/multisource_satellite/images_vis/85.jpg,85.0,157.4,Very Severe Cyclonic Storm,VSCS,4
86(1).jpg,data/processed/classification/multisource_satellite/images_ir/86(1).jpg,data/processed/classification/multisource_satellite/images_vis/86(1).jpg,86.0,159.3,Very Severe Cyclonic Storm,VSCS,4
86(2).jpg,data/processed/classification/multisource_satellite/images_ir/86(2).jpg,data/processed/classification/multisource_satellite/images_vis/86(2).jpg,86.0,159.3,Very Severe Cyclonic Storm,VSCS,4
86.jpg,data/processed/classification/multisource_satellite/images_ir/86.jpg,data/processed/classification/multisource_satellite/images_vis/86.jpg,86.0,159.3,Very Severe Cyclonic Storm,VSCS,4
87.jpg,data/processed/classification/multisource_satellite/images_ir/87.jpg,data/processed/classification/multisource_satellite/images_vis/87.jpg,87.0,161.1,Very Severe Cyclonic Storm,VSCS,4
94.jpg,data/processed/classification/multisource_satellite/images_ir/94.jpg,data/processed/classification/multisource_satellite/images_vis/94.jpg,94.0,174.1,Extremely Severe Cyclonic Storm,ESCS,5
98.jpg,data/processed/classification/multisource_satellite/images_ir/98.jpg,data/processed/classification/multisource_satellite/images_vis/98.jpg,98.0,181.5,Extremely Severe Cyclonic Storm,ESCS,5
99.jpg,data/processed/classification/multisource_satellite/images_ir/99.jpg,data/processed/classification/multisource_satellite/images_vis/99.jpg,99.0,183.3,Extremely Severe Cyclonic Storm,ESCS,5
